# Logfile created on 2020-05-11 16:51:25 +0000 by logger.rb/66358
[2020-05-11T16:51:25+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-05-11T16:51:25+00:00] INFO: *** Chef 14.14.29 ***
[2020-05-11T16:51:25+00:00] INFO: Platform: x86_64-linux
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/consul.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_exporter.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/grafana_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/pg_version.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/puma.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/repmgr.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/recipes/runit.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/recipes/runit_systemd.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/recipes/runit_sysvinit.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/recipes/runit_upstart.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/recipes/sysctl.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/files/default/gitlab-runsvdir.conf in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/sidekiq_cluster.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/templates/default/gitlab-runsvdir.service.erb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logrotate_helper.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/resources/puma_config.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2020-05-11T16:51:27+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
